,precision,recall,f1-score,support
negative,0.9767567567567568,0.9228804902962207,0.9490546218487396,1958.0
neutral,0.9922705314009662,0.9518072289156626,0.9716177861873226,1079.0
positive,0.9140893470790378,0.9877984084880637,0.9495155532891383,1885.0
accuracy,0.954083705810646,0.954083705810646,0.954083705810646,0.954083705810646
macro avg,0.9610388784122535,0.9541620425666489,0.9567293204417334,4922.0
weighted avg,0.9561576701250221,0.954083705810646,0.9541774398264891,4922.0
