,precision,recall,f1-score,support
0,0.9564239527691876,0.9569620253164557,0.9566929133858268,7110.0
1,0.978807396634116,0.9785363151699785,0.9786718371303925,14443.0
accuracy,0.9714192919779149,0.9714192919779149,0.9714192919779149,0.9714192919779149
macro avg,0.9676156747016518,0.967749170243217,0.9676823752581096,21553.0
weighted avg,0.9714234460991724,0.9714192919779149,0.9714213315012985,21553.0
