,precision,recall,f1-score,support
negative,0.6707895872285344,0.6585710251341429,0.6646241539009619,7082.0
neutral,0.7118009098207118,0.7459338194054963,0.728467752978228,7132.0
positive,0.6829481029219363,0.6624365482233503,0.6725359673609619,7092.0
accuracy,0.6891016615038017,0.6891016615038017,0.6891016615038017,0.6891016615038017
macro avg,0.6885128666570609,0.6889804642543299,0.6885426247467171,21306.0
weighted avg,0.6885649062008903,0.6891016615038017,0.6886288065658159,21306.0
