,precision,recall,f1-score,support
0,0.8060400937255923,0.43544303797468353,0.5654278148114328,7110.0
1,0.7733739837398373,0.9484179187149484,0.8519981340382522,14443.0
accuracy,0.7791954716280797,0.7791954716280797,0.7791954716280797,0.7791954716280797
macro avg,0.7897070387327148,0.6919304783448159,0.7087129744248425,21553.0
weighted avg,0.7841500261468674,0.7791954716280797,0.757463035921856,21553.0
