,precision,recall,f1-score,support
negative,0.7457886676875957,0.6876588534312341,0.7155451072583016,7082.0
neutral,0.7037601030807075,0.8424004486819966,0.7668645095411322,7132.0
positive,0.7797723994229845,0.6859842075578116,0.7298777286025054,7092.0
accuracy,0.7388998404205388,0.7388998404205388,0.7388998404205388,0.7388998404205388
macro avg,0.7431070567304291,0.7386811698903474,0.7374291151339798,21306.0
weighted avg,0.7430319279284222,0.7388998404205388,0.7374946485919278,21306.0
