,precision,recall,f1-score,support
negative,0.8926962457337884,0.9233267438576673,0.9077531755396682,7082.0
neutral,0.939699863574352,0.96578799775659,0.9525653436592448,7132.0
positive,0.9388061945572095,0.8804286520022561,0.9086807829440443,7092.0
accuracy,0.9232610532244439,0.9232610532244439,0.9232610532244439,0.9232610532244439
macro avg,0.92373410128845,0.9231811312055044,0.9229997673809858,21306.0
weighted avg,0.923778643156796,0.9232610532244439,0.9230624299628662,21306.0
