,precision,recall,f1-score,support
0,0.8875806451612903,0.3703230148048452,0.522602089268756,29720.0
1,0.043349350782128614,0.37823371989295274,0.07778389286369473,2242.0
accuracy,0.3708779175270634,0.3708779175270634,0.3708779175270634,0.3708779175270634
macro avg,0.4654649979717095,0.37427836734889897,0.3001929910662253,31962.0
weighted avg,0.8283613672062787,0.3708779175270634,0.49139996185682466,31962.0
