,precision,recall,f1-score,support
negative,0.9440109514031485,0.9762174405436014,0.9598441088454311,7064.0
neutral,0.9887850467289719,0.9692741367159972,0.978932384341637,7095.0
positive,0.9703377803008799,0.9566251574087029,0.963432678080744,7147.0
accuracy,0.9673331455927907,0.9673331455927907,0.9673331455927907,0.9673331455927907
macro avg,0.9677112594776668,0.9673722448894337,0.9674030570892707,21306.0
weighted avg,0.9677521535278459,0.9673331455927907,0.9674043650629455,21306.0
