,precision,recall,f1-score,support
negative,0.9269991641125662,0.9443655975021289,0.9356017997750282,7046.0
neutral,0.9685182594095425,0.9617896345699597,0.9651422197434467,7197.0
positive,0.9434178484457814,0.9324649582330454,0.9379094275135289,7063.0
accuracy,0.946306204824932,0.946306204824932,0.946306204824932,0.946306204824932
macro avg,0.9463117573226301,0.9462067301017113,0.9462178156773345,21306.0
weighted avg,0.9464668303238606,0.946306204824932,0.9463453075770434,21306.0
